,outcome_sum,n_failed_trap_rounds,bqp_error,expected_outcome,outcome
circuit908.qasm,95,23,0.9999999999999993,1,1
circuit842.qasm,16,18,0.14644660940672666,0,0
circuit146.qasm,2,17,6.106226635438361e-16,0,0
circuit704.qasm,25,18,0.25000000000000044,0,0
circuit984.qasm,24,21,0.14644660940672666,0,0
circuit426.qasm,83,15,0.8535533905932733,1,1
circuit190.qasm,6,23,5.551115123125783e-16,0,0
circuit871.qasm,5,11,6.661338147750939e-16,0,0
circuit188.qasm,20,17,0.1464466094067267,0,0
circuit750.qasm,5,15,2.220446049250313e-16,0,0
circuit328.qasm,84,16,0.8535533905932731,1,1
circuit275.qasm,37,20,0.2500000000000004,0,0
circuit309.qasm,30,15,0.25000000000000033,0,0
circuit513.qasm,21,20,0.2500000000000001,0,0
circuit969.qasm,9,13,2.220446049250313e-16,0,0
circuit583.qasm,76,17,0.7866116523516816,1,1
circuit483.qasm,76,19,0.8535533905932733,1,1
circuit326.qasm,79,18,0.8535533905932732,1,1
circuit319.qasm,4,26,6.106226635438361e-16,0,0
circuit278.qasm,65,18,0.6767766952966366,1,1
circuit706.qasm,7,12,7.771561172376096e-16,0,0
circuit558.qasm,79,14,0.8535533905932733,1,1
circuit358.qasm,79,20,0.8535533905932735,1,1
circuit394.qasm,6,21,2.220446049250313e-16,0,0
circuit682.qasm,89,22,0.9267766952966363,1,1
circuit035.qasm,6,21,2.220446049250313e-16,0,0
circuit503.qasm,35,20,0.2500000000000005,0,0
circuit812.qasm,19,19,0.14644660940672682,0,0
circuit934.qasm,10,16,0.02144660940672699,0,0
circuit660.qasm,7,19,7.771561172376096e-16,0,0
circuit211.qasm,79,23,0.8535533905932731,1,1
circuit540.qasm,6,19,8.326672684688674e-16,0,0
circuit359.qasm,18,23,0.14644660940672688,0,0
circuit001.qasm,87,20,0.8535533905932733,1,1
circuit115.qasm,77,22,0.8535533905932733,1,1
circuit519.qasm,64,14,0.6767766952966365,1,1
circuit978.qasm,76,15,0.7499999999999998,1,1
circuit385.qasm,78,20,0.8535533905932734,1,1
circuit782.qasm,10,13,6.661338147750939e-16,0,0
circuit822.qasm,22,17,0.14644660940672682,0,0
circuit121.qasm,74,16,0.7499999999999994,1,1
circuit091.qasm,49,18,0.3636262177912838,0,0
circuit131.qasm,87,12,0.9267766952966363,1,1
circuit062.qasm,33,11,0.375,0,0
circuit290.qasm,27,20,0.14644660940672655,0,0
circuit644.qasm,5,19,4.996003610813204e-16,0,0
circuit293.qasm,4,20,6.661338147750939e-16,0,0
circuit584.qasm,66,21,0.7499999999999999,1,1
circuit593.qasm,5,24,8.326672684688674e-16,0,0
circuit863.qasm,8,19,8.881784197001252e-16,0,0
circuit602.qasm,90,23,0.9999999999999991,1,1
circuit261.qasm,2,20,8.326672684688674e-16,0,0
circuit791.qasm,11,18,5.551115123125783e-16,0,0
circuit210.qasm,78,13,0.8535533905932731,1,1
circuit366.qasm,9,17,3.3306690738754696e-16,0,0
circuit436.qasm,90,16,0.9267766952966365,1,1
circuit000.qasm,31,19,0.32322330470336336,0,0
circuit813.qasm,79,22,0.8535533905932733,1,1
circuit604.qasm,82,26,0.8535533905932731,1,1
circuit997.qasm,70,14,0.713388347648318,1,1
circuit723.qasm,1,17,7.771561172376096e-16,0,0
circuit393.qasm,11,21,7.771561172376096e-16,0,0
circuit585.qasm,86,24,0.8535533905932732,1,1
circuit856.qasm,80,20,0.8535533905932732,1,1
circuit151.qasm,75,14,0.7499999999999996,1,1
circuit458.qasm,91,16,0.9999999999999996,1,1
circuit083.qasm,82,22,0.8535533905932733,1,1
circuit336.qasm,72,14,0.8017766952966364,1,1
circuit465.qasm,85,14,0.8535533905932733,1,1
circuit347.qasm,71,17,0.6767766952966365,1,1
circuit258.qasm,90,20,0.8901650429449548,1,1
circuit379.qasm,5,23,6.661338147750939e-16,0,0
circuit339.qasm,81,22,0.8535533905932733,1,1
circuit150.qasm,1,21,7.216449660063518e-16,0,0
circuit972.qasm,6,13,7.216449660063518e-16,0,0
circuit677.qasm,25,19,0.25000000000000056,0,0
circuit340.qasm,5,27,4.440892098500626e-16,0,0
circuit781.qasm,32,20,0.21338834764831882,0,0
circuit372.qasm,39,16,0.25000000000000033,0,0
circuit269.qasm,7,19,6.661338147750939e-16,0,0
circuit018.qasm,72,17,0.6767766952966368,1,1
circuit136.qasm,78,16,0.9267766952966363,1,1
circuit695.qasm,9,21,0.07322330470336352,0,0
circuit116.qasm,25,14,0.14644660940672666,0,0
circuit287.qasm,80,20,0.8535533905932732,1,1
circuit110.qasm,78,21,0.7499999999999996,1,1
circuit912.qasm,3,17,8.326672684688674e-16,0,0
circuit109.qasm,77,20,0.8535533905932733,1,1
circuit494.qasm,84,20,0.8535533905932733,1,1
circuit325.qasm,1,18,5.551115123125783e-16,0,0
circuit111.qasm,31,23,0.32322330470336336,0,0
circuit382.qasm,94,20,0.9999999999999993,1,1
circuit402.qasm,68,18,0.7499999999999996,1,1
circuit933.qasm,31,16,0.25000000000000067,0,0
circuit672.qasm,18,16,0.14644660940672688,0,0
circuit386.qasm,59,14,0.6767766952966368,1,1
circuit903.qasm,4,17,2.220446049250313e-16,0,0
circuit759.qasm,19,16,0.14644660940672682,0,0
circuit081.qasm,89,18,0.8535533905932733,1,1
circuit939.qasm,26,13,0.1464466094067267,0,0
